stem,grid,eff_res_ang,supercell_na,supercell_nb,supercell_nc,cif_n_sites,cif_radius_fallback_count,cif_radius_fallback_fraction,cif_low_confidence,cif_mask_void_fraction,metal_n_detected,metal_n_true,metal_detection_rate,metal_false_positives,metal_n_peaks,metal_precision,metal_recall,metal_f1,vox_vf_t05,vf_error_zeo_t05_pct,vf_error_cif_t05_pct,vox_vf_t10,vf_error_zeo_t10_pct,vf_error_cif_t10_pct,vox_vf_t20,vf_error_zeo_t20_pct,vf_error_cif_t20_pct,zeo_void_fraction,cif_proxy_void_fraction,zeo_sasa_m2g,vox_surface_area_ang2,cif_surface_area_ang2,surface_area_proxy_error_pct,vox_psd_peak_t05_ang,vox_psd_width_t05_ang,vox_psd_peak_t10_ang,vox_psd_width_t10_ang,vox_psd_peak_t20_ang,vox_psd_width_t20_ang,vox_psd_peak_ang,vox_psd_width_ang,cif_psd_peak_ang,cif_psd_width_ang,psd_peak_error_vs_cif_ang,psd_peak_error_vs96_ang,n_pore_components,largest_void_frac,channel_entropy,ssim_vs_cif,psnr_vs_cif,mi_vs_cif,ssim_vs96,psnr_vs96,mi_vs96
DB1-Cu2O8-ADC_A-irmof6_A_No813_repeat,32,2.187275,6,2,7,108,0,0.0,False,0.7645263671875,32.0,336.0,0.09523809523809523,64.0,96.0,0.3333333333333333,0.09523809523809523,0.14814814814814814,0.439239501953125,,42.54750119750918,0.552734375,,27.702379051572727,0.686309814453125,,10.23072010218745,,0.7645263671875,,36862.04468694063,14156.364727924376,160.3920243325448,2.1325931250000005,0.9243383574111118,2.168741345661137,1.0934029142491277,2.2506092566803924,1.2718487653056367,2.168741345661137,1.0934029142491277,2.3519563748088332,3.8399904545166503,0.18321502914769638,0.032161667807497185,1,1.0,3.5379558074988107,0.04040902239691903,3.6690897409147776,0.005044133741368917,0.12817610622080156,4.55659395384517,0.08459925600659979
DB1-Cu2O8-ADC_A-irmof6_A_No813_repeat,64,1.0936375,6,2,7,108,0,0.0,False,0.7627067565917969,0.0,336.0,0.0,141.0,141.0,0.0,0.0,0.0,0.7745094299316406,,1.5474719789535807,0.8222999572753906,,7.813383081839961,0.88519287109375,,16.05939811642551,,0.7627067565917969,,34441.25369257438,15023.495889443908,129.2492635936629,0.92717630086502,1.4634207414019127,1.0045701894648893,1.5260106313257762,2.31010698402953,1.6243983904234764,1.0045701894648893,1.5260106313257762,1.387131625454955,3.9438816632915956,0.38256143599006576,1.3055367945646408,51,0.9995360941914354,3.3874564228000064,0.11642591043771758,5.119570904733596,0.0023991339045490445,0.5583044231161594,10.775805121739275,0.18896288869952516
DB1-Cu2O8-ADC_A-irmof6_A_No813_repeat,96,0.7290916666666667,6,2,7,108,0,0.0,False,0.7641217267071759,0.0,336.0,0.0,144.0,144.0,0.0,0.0,0.0,0.8901084617332176,,16.48778337568745,0.9202654803240741,,20.434408309493733,0.9554578993055556,,25.040012070184574,,0.7641217267071759,,32329.839149398547,14731.528508316182,119.46018114242416,2.2055022916666664,1.614193337614088,1.454761701711335,1.6662803597424614,2.8136822554128016,1.7026550820968975,1.454761701711335,1.6662803597424614,6.873405107044608,4.010558111633326,5.418643405333273,,1,1.0,3.2645968517245567,0.2790486549325634,5.7087222559336395,0.0007940999453691644,,,
DB0-m29_o97_o46_f0_pts.sym.39_repeat,32,1.6308388124999997,3,5,4,104,0,0.0,False,0.601043701171875,11.0,120.0,0.09166666666666666,61.0,72.0,0.1527777777777778,0.09166666666666666,0.11458333333333331,0.26226806640625,,56.36455953287637,0.379638671875,,36.83676059913684,0.54119873046875,,9.956841838029955,,0.601043701171875,,22686.68853200017,9433.726169168183,140.4849168311249,1.5900678421875,0.4833258929088831,1.5900678421875,0.5822703527531399,1.6760786718338903,0.6645394717519945,1.5900678421875,0.5822703527531399,1.8572060849464762,2.6805800637735184,0.26713824275897613,0.07714068867126578,4,0.9996784565916399,3.556566640469439,-0.011413137820298642,2.689759747295673,0.0004315875517255652,0.08585571522712511,2.9247348506547493,0.05685055898087599
DB0-m29_o97_o46_f0_pts.sym.39_repeat,64,0.8154194062499999,3,5,4,104,0,0.0,False,0.6015701293945312,3.0,120.0,0.025,69.0,72.0,0.041666666666666664,0.025,0.03125,0.6959800720214844,,15.693921292597244,0.7631378173828125,,26.85766465015409,0.8466911315917969,,40.74687060076856,,0.6015701293945312,,29234.710474061652,9675.752975312618,202.1440351841671,0.8680004568927162,0.816513561836062,0.9137155586706834,0.8328857437030073,0.6913054359789472,0.9665570441118435,0.9137155586706834,0.8328857437030073,1.0819681465929927,2.7701655740298894,0.16825258792230924,0.2002235782019336,1,0.999961121219594,3.3996689868093832,0.008927186227646464,3.468935280950281,3.232706794942253e-05,0.45741603242224627,9.125628578380041,0.19188876069831096
DB0-m29_o97_o46_f0_pts.sym.39_repeat,96,0.5436129375,3,5,4,104,0,0.0,False,0.6018326370804398,0.0,120.0,0.0,72.0,72.0,0.0,0.0,0.0,0.8708157009548612,,44.6939975171984,0.9084337022569444,,50.94457267453326,0.9504247594762731,,57.92177109019783,,0.6018326370804398,,23646.521335855025,9826.7611535053,140.63392776591584,0.4097431805930372,0.9967699492698375,0.41176661601290737,1.0234069580543108,1.2652145887060084,1.0444397693845833,0.41176661601290737,1.0234069580543108,1.0802383802644557,2.814216450435732,0.6684717642515483,,1,1.0,3.2299082746401973,0.09942313455799062,3.781978321655105,2.00861555617049e-05,,,
DB0-m29_o81_o470_f0_pts.sym.41_repeat,32,1.47262621875,3,4,4,85,0,0.0,False,0.69488525390625,11.0,96.0,0.11458333333333333,43.0,54.0,0.2037037037037037,0.11458333333333333,0.14666666666666664,0.492462158203125,,29.130434782608695,0.577972412109375,,16.824769433465086,0.694793701171875,,0.013175230566534914,,0.69488525390625,,13857.53279315801,5855.295546404793,136.66666666666669,1.3661535255660426,0.9560278193622836,1.5183947515046565,1.0198262276879348,1.3140662194860564,1.2184145371048967,1.5183947515046565,1.0198262276879348,1.2348346239650532,3.565484136986164,0.28356012753960336,0.13058614623134623,4,0.9997653284521651,3.52180443544252,0.0512279394916426,3.5327399842857576,0.0016624170182282239,0.0888612767045046,4.576697581638904,0.06737254946286919
DB0-m29_o81_o470_f0_pts.sym.41_repeat,64,0.736313109375,3,4,4,85,0,0.0,False,0.6957168579101562,4.0,96.0,0.041666666666666664,50.0,54.0,0.07407407407407407,0.041666666666666664,0.05333333333333334,0.7937545776367188,,14.091611926877146,0.8384208679199219,,20.51179418570222,0.8975868225097656,,29.016109399159983,,0.6957168579101562,,16827.46881197333,6070.531873434673,177.1992497990533,0.853535858696994,1.2056322843530203,0.8682954976412101,1.2849445349685882,0.915777867006297,1.360686373003936,0.8682954976412101,1.2849445349685882,1.245898569875047,3.6309036494160485,0.37760307223383704,0.3051242607186144,1,0.9999893836608474,3.3825905213538867,0.09115817269404378,4.483093071269871,0.0005508355124561604,0.47510020266102415,10.311144991587648,0.1396037814014569
DB0-m29_o81_o470_f0_pts.sym.41_repeat,96,0.49087540625000003,3,4,4,85,0,0.0,False,0.6953746654369213,0.0,96.0,0.0,54.0,54.0,0.0,0.0,0.0,0.9175675003616898,,31.952966647865892,0.9427207664207176,,35.570191621574615,0.970245361328125,,39.52843115423189,,0.6953746654369213,,12777.797017707808,6141.795398449043,108.04660834085291,0.5373068023554686,1.384013669212451,0.54730406517603,1.402426240787558,0.5583370596212931,1.459078550505885,0.54730406517603,1.402426240787558,1.23373650491818,3.6149446561478737,0.6864324397421501,,1,1.0,3.2063429637519953,0.25242994345605574,4.909125794705422,0.00017957481041608325,,,
DB5-hypotheticalMOF_13592_1_1_0_14_13_5_repeat,32,1.43435775,3,3,3,190,0,0.0,False,0.52001953125,94.0,216.0,0.4351851851851852,0.0,94.0,1.0,0.4351851851851852,0.6064516129032258,0.1103515625,,78.7793427230047,0.19921875,,61.69014084507042,0.3638916015625,,30.02347417840376,,0.52001953125,,13807.091642104755,9821.942407898689,40.57394218684542,1.363111609047801,0.23765448302800485,1.363111609047801,0.31032146435689245,1.521366137508718,0.38783212935181,1.363111609047801,0.31032146435689245,1.6267476131378023,1.552217930011965,0.2636360040900012,0.05909225507284255,14,0.21129493464052287,3.6217093613165097,-0.03594815471272554,2.7730342852786043,0.0008064021124041254,0.06324737314710482,1.8051390226839086,0.03406130107220606
