threshold_label,threshold_value,N,MAE,MAE_bootstrap_mean,MAE_CI_2.5%,MAE_CI_97.5%,MedianAE,MSE,RMSE,Bias,StdResidual,NormalizedMAE,R2,PearsonR,Pearson_p,SpearmanR,Spearman_p
all,,12714,0.18148506196496794,0.18156528431466892,0.17662596968594274,0.18649971412621263,0.09002928435802462,0.11827964849459402,0.343918083988897,-0.041077269498121766,0.34146958507895314,0.2159955941821123,0.8293968691635889,0.9133249416305981,0.0,0.9131673344620923,0.0
resid_lt_1.0,1.0,12452,0.15072322393726603,0.15076100232364872,0.1478296679411548,0.15380097673252244,0.08710169792175293,0.052620464364410334,0.2293915089195987,-0.018155882048961278,0.22868106183205886,0.18766342054284593,0.913516261853457,0.9574655632717287,0.0,0.9273800575817253,0.0
resid_lt_0.5,0.5,11723,0.11847961130734375,0.11849393708864295,0.11643360068351033,0.12052094277153266,0.07851815223693848,0.026883204730504793,0.16396098539135703,-0.011951947519857804,0.1635317611108505,0.15903301510234946,0.9496629873103268,0.9756021212815731,0.0,0.9327604551177475,0.0
resid_lt_0.25,0.25,10068,0.08103634511917321,0.08102843696780386,0.07976529872752869,0.08232818207898362,0.06315137445926666,0.010815980864867519,0.10399990800413007,-0.009573790085392896,0.10356345254544955,0.1241528489225176,0.9757464097412462,0.9882090974717639,0.0,0.9387999302292881,0.0
