epoch,train_loss,val_mae,val_rmse,val_r2,val_spearman
1,0.601248,0.377647,0.610596,0.479219,0.763195
2,0.450467,0.371634,0.537047,0.597123,0.797075
3,0.412410,0.334819,0.533410,0.602562,0.790948
4,0.384209,0.432799,0.669882,0.373179,0.772654
5,0.374128,0.352486,0.532591,0.603781,0.847990
6,0.350006,0.291561,0.494567,0.658337,0.846821
7,0.338296,0.309994,0.508243,0.639180,0.830099
8,0.330061,0.280030,0.499124,0.652012,0.851668
9,0.317645,0.301180,0.514838,0.629756,0.853172
10,0.308812,0.265501,0.473931,0.686255,0.861783
11,0.305462,0.344130,0.481791,0.675761,0.845073
12,0.290001,0.294574,0.571664,0.543513,0.853025
13,0.292220,0.272802,0.454147,0.711902,0.875171
14,0.287223,0.289034,0.519127,0.623560,0.866550
15,0.273896,0.454667,0.580311,0.529598,0.851238
16,0.265833,0.267310,0.440246,0.729269,0.859604
17,0.262286,0.269056,0.468199,0.693798,0.871751
18,0.265644,0.256482,0.429070,0.742840,0.870144
19,0.250267,0.343201,0.515840,0.628313,0.860142
20,0.251967,0.252879,0.433610,0.737369,0.871834
21,0.240015,0.271533,0.540874,0.591361,0.868096
22,0.240968,0.262911,0.456384,0.709057,0.877320
23,0.233146,0.297912,0.442434,0.726572,0.878168
24,0.230625,0.259274,0.470718,0.690494,0.872422
25,0.218279,0.247530,0.457659,0.707429,0.877082
26,0.220343,0.260044,0.452889,0.713496,0.881166
27,0.213724,0.254616,0.465386,0.697466,0.879300
28,0.212298,0.237757,0.399160,0.777443,0.885443
29,0.212643,0.264997,0.462838,0.700770,0.870550
30,0.204169,0.295701,0.461544,0.702441,0.878973
31,0.202531,0.265500,0.460763,0.703446,0.877583
32,0.202541,0.257748,0.482360,0.674995,0.883117
33,0.203842,0.263800,0.542076,0.589543,0.878114
34,0.196248,0.248678,0.426094,0.746395,0.887089
35,0.191927,0.271900,0.557046,0.566559,0.891214
36,0.192932,0.262681,0.452832,0.713568,0.880047
37,0.191953,0.251697,0.431261,0.740207,0.880677
38,0.190255,0.312887,0.478423,0.680279,0.888787
39,0.185317,0.243902,0.416439,0.757758,0.889893
40,0.178155,0.250964,0.492209,0.661587,0.887544
41,0.177357,0.293082,0.513139,0.632196,0.884102
42,0.173790,0.260783,0.437305,0.732874,0.892149
43,0.170411,0.239122,0.472230,0.688502,0.892980
44,0.171274,0.233080,0.413550,0.761107,0.894507
45,0.166082,0.240785,0.469797,0.691704,0.888875
46,0.163597,0.241842,0.450399,0.716638,0.875342
47,0.167042,0.278148,0.452116,0.714474,0.872248
48,0.163227,0.258714,0.518717,0.624156,0.880284
49,0.165424,0.276652,0.540571,0.591819,0.885981
50,0.156927,0.252677,0.424954,0.747750,0.892584
51,0.157086,0.227904,0.408188,0.767261,0.891622
52,0.154791,0.241062,0.450984,0.715901,0.895836
53,0.153707,0.269441,0.443301,0.725498,0.891003
54,0.150706,0.241314,0.501577,0.648584,0.893376
55,0.150615,0.228447,0.405758,0.770025,0.893798
56,0.151172,0.260639,0.452232,0.714326,0.891478
57,0.143602,0.243367,0.468492,0.693415,0.889464
58,0.142731,0.271045,0.431860,0.739484,0.894820
59,0.146712,0.229590,0.421469,0.751870,0.894540
60,0.142053,0.231742,0.430342,0.741312,0.894167
61,0.139902,0.261346,0.401867,0.774414,0.896368
62,0.140344,0.226957,0.400417,0.776039,0.896378
63,0.137778,0.245099,0.429640,0.742156,0.895606
64,0.131289,0.241038,0.453162,0.713151,0.894431
65,0.133751,0.234578,0.423048,0.750007,0.895742
66,0.131281,0.230887,0.405796,0.769982,0.892722
67,0.128625,0.241753,0.414088,0.760485,0.899023
68,0.127985,0.249270,0.432174,0.739105,0.894423
69,0.126788,0.241356,0.433974,0.736928,0.893537
70,0.125310,0.238832,0.456263,0.709211,0.892679
71,0.127543,0.228624,0.420661,0.752821,0.897247
72,0.121289,0.228370,0.429185,0.742702,0.899636
73,0.125200,0.231030,0.424507,0.748280,0.895467
74,0.121418,0.251985,0.451391,0.715388,0.899058
75,0.119715,0.229979,0.437807,0.732260,0.899867
76,0.118735,0.236074,0.439898,0.729697,0.897938
77,0.114811,0.220737,0.408195,0.767254,0.902427
78,0.117939,0.232911,0.447167,0.720690,0.903991
79,0.112890,0.227487,0.409494,0.765771,0.900587
80,0.112585,0.238352,0.430521,0.741098,0.901610
81,0.113701,0.237085,0.489472,0.665341,0.906196
82,0.115672,0.237102,0.434490,0.736302,0.900602
83,0.112961,0.218867,0.398313,0.778386,0.902481
84,0.109639,0.226882,0.393149,0.784095,0.900783
85,0.105538,0.225442,0.425619,0.746960,0.898687
86,0.104793,0.219520,0.393837,0.783339,0.899256
87,0.107177,0.227282,0.419647,0.754011,0.895017
88,0.106805,0.252152,0.446802,0.721146,0.897912
89,0.103248,0.252984,0.432099,0.739197,0.896887
90,0.104303,0.227040,0.441366,0.727889,0.901949
91,0.101501,0.233794,0.460638,0.703608,0.904206
92,0.102516,0.232531,0.439929,0.729658,0.897934
93,0.099903,0.228072,0.433189,0.737879,0.899677
94,0.101136,0.229983,0.416725,0.757425,0.902086
95,0.096175,0.223144,0.407064,0.768542,0.904551
96,0.098027,0.219199,0.398693,0.777964,0.903121
97,0.100356,0.219959,0.424773,0.747965,0.901991
98,0.095586,0.230368,0.416190,0.758047,0.906105
99,0.097824,0.263745,0.415753,0.758555,0.891458
100,0.094042,0.228750,0.434010,0.736885,0.900758
