epoch,train_loss,val_mae,val_rmse,val_r2,val_spearman
1,0.530894,0.383934,0.568304,0.539598,0.788354
2,0.406597,0.508095,0.705159,0.291160,0.809790
3,0.374967,0.356926,0.609716,0.470057,0.817346
4,0.348624,0.313230,0.538743,0.586250,0.843002
5,0.328105,0.355195,0.662143,0.375002,0.823486
6,0.312790,0.330020,0.551368,0.566631,0.788498
7,0.300891,0.309446,0.529175,0.600815,0.862411
8,0.289076,0.651864,0.829134,0.020005,0.836714
9,0.279489,0.275426,0.481994,0.668824,0.858923
10,0.268205,0.271465,0.455681,0.703997,0.871199
11,0.261589,0.291044,0.505563,0.635645,0.869635
12,0.252629,0.260464,0.468144,0.687583,0.871143
13,0.241636,0.261901,0.445756,0.716750,0.862506
14,0.236355,0.277226,0.467377,0.688606,0.875228
15,0.230110,0.248333,0.427869,0.739026,0.882121
16,0.225896,0.282829,0.420243,0.748246,0.878169
17,0.220345,0.234563,0.403508,0.767898,0.880182
18,0.214491,0.253335,0.447149,0.714978,0.885984
19,0.211578,0.336747,0.542442,0.580549,0.857056
20,0.207096,0.251877,0.409111,0.761407,0.882137
21,0.201377,0.272217,0.423883,0.743867,0.884169
22,0.197659,0.362041,0.512002,0.626304,0.875964
23,0.195517,0.245484,0.413129,0.756698,0.886820
24,0.195264,0.264647,0.452554,0.708045,0.885053
25,0.190583,0.231774,0.407428,0.763366,0.888895
26,0.188679,0.255832,0.417640,0.751355,0.893034
27,0.180894,0.232172,0.400015,0.771899,0.885637
28,0.177944,0.225039,0.385673,0.787963,0.889243
29,0.177588,0.237483,0.415269,0.754171,0.895074
30,0.175300,0.243988,0.419056,0.749666,0.891645
31,0.170204,0.243418,0.419858,0.748707,0.890441
32,0.168599,0.232863,0.411918,0.758121,0.890823
33,0.167227,0.219216,0.378546,0.795726,0.897084
34,0.162244,0.224989,0.394982,0.777602,0.898185
35,0.159263,0.231159,0.423181,0.744714,0.892729
36,0.156631,0.238031,0.404876,0.766321,0.896962
37,0.156401,0.271365,0.443117,0.720094,0.902801
38,0.152441,0.225654,0.383872,0.789938,0.888495
39,0.151891,0.262327,0.412973,0.756881,0.893448
40,0.148646,0.223003,0.380916,0.793161,0.903276
41,0.148347,0.214192,0.377626,0.796718,0.900362
42,0.144496,0.208921,0.367967,0.806985,0.904728
43,0.142354,0.211833,0.372192,0.802527,0.900987
44,0.138193,0.243893,0.414308,0.755307,0.885495
45,0.137141,0.220250,0.388318,0.785043,0.901041
46,0.137030,0.205061,0.362069,0.813122,0.906904
47,0.134299,0.220902,0.390349,0.782789,0.905529
48,0.132673,0.208772,0.369071,0.805824,0.904623
49,0.129498,0.232185,0.372160,0.802560,0.902642
50,0.129216,0.223835,0.380304,0.793824,0.900143
51,0.128100,0.214240,0.370942,0.803850,0.903912
52,0.124695,0.229101,0.389535,0.783694,0.898758
53,0.126359,0.222443,0.373392,0.801251,0.902774
54,0.123712,0.212337,0.361709,0.813494,0.907383
55,0.122493,0.207715,0.375047,0.799485,0.907854
56,0.120193,0.217605,0.378815,0.795436,0.903329
57,0.117040,0.203069,0.355794,0.819544,0.907933
58,0.116776,0.225400,0.373535,0.801098,0.903563
59,0.113858,0.242382,0.398692,0.773406,0.906103
60,0.116225,0.223438,0.391410,0.781607,0.907865
61,0.112034,0.212849,0.369809,0.805047,0.906546
62,0.110006,0.209534,0.365114,0.809966,0.906458
63,0.109620,0.205350,0.346772,0.828579,0.907435
64,0.108038,0.196604,0.355472,0.819870,0.908098
65,0.108140,0.199558,0.353204,0.822162,0.913557
66,0.103999,0.221277,0.385119,0.788571,0.907023
67,0.106635,0.221251,0.363789,0.811343,0.911139
68,0.103342,0.207514,0.352222,0.823149,0.903134
69,0.102293,0.202688,0.356859,0.818462,0.910429
70,0.102608,0.207695,0.359075,0.816200,0.911069
71,0.100767,0.200743,0.349502,0.825870,0.913579
72,0.100483,0.197416,0.348729,0.826639,0.914122
73,0.099325,0.197700,0.351327,0.824046,0.915719
74,0.097302,0.220253,0.373473,0.801164,0.889879
75,0.099990,0.207069,0.360737,0.814494,0.906459
76,0.095411,0.220981,0.369034,0.805863,0.913898
77,0.095897,0.204020,0.352171,0.823200,0.910745
78,0.093320,0.195672,0.343751,0.831553,0.913015
79,0.093244,0.196802,0.350304,0.825070,0.914579
80,0.092791,0.196560,0.351675,0.823698,0.913666
81,0.092137,0.217627,0.379862,0.794304,0.905245
82,0.090506,0.195883,0.364277,0.810836,0.913925
83,0.089828,0.194392,0.347123,0.828232,0.915694
84,0.089098,0.192265,0.340517,0.834708,0.915485
85,0.087849,0.200354,0.348413,0.826953,0.904576
86,0.088205,0.209195,0.354808,0.820542,0.910752
87,0.085694,0.193576,0.348121,0.827243,0.918826
88,0.085117,0.198997,0.352961,0.822406,0.916183
89,0.082287,0.202214,0.356113,0.819220,0.916745
90,0.084426,0.193059,0.346771,0.828581,0.917526
91,0.083039,0.195984,0.345732,0.829607,0.915759
92,0.084181,0.193208,0.341204,0.834040,0.917419
93,0.082888,0.192701,0.345550,0.829786,0.914471
94,0.081694,0.195954,0.339294,0.835892,0.920488
95,0.080118,0.198922,0.361778,0.813422,0.917460
96,0.079003,0.192832,0.337677,0.837454,0.916815
97,0.078494,0.191666,0.333274,0.841664,0.919962
98,0.077118,0.216872,0.368073,0.806873,0.918437
99,0.075098,0.193519,0.330928,0.843886,0.920289
100,0.075975,0.195105,0.338362,0.836793,0.916932
